STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/17/22,76,86,67
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/18/22,76,82,68
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/19/22,81,93,73
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/20/22,84,92,76
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/21/22,83,94,71
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/22/22,84,94,73
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/23/22,84,94,76
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/24/22,87,100,72
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/25/22,85,90,77
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/26/22,78,84,71
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/27/22,74,83,66
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/28/22,76,89,66
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/29/22,82,92,73
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/30/22,81,88,73
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/31/22,77,85,69
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/1/22,77,85,69
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/2/22,78,94,69
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/3/22,78,81,68
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/4/22,81,98,68
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/5/22,81,95,73
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/6/22,83,97,73
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/7/22,86,98,77
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/8/22,85,98,78
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/9/22,85,98,66
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/10/22,69,72,65
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/11/22,69,78,66
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/12/22,73,80,67
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/13/22,68,73,63
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/14/22,70,80,63
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/15/22,71,77,63
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/16/22,70,77,64
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/17/22,70,79,66
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/18/22,73,84,66
